ID;Question;Options
20;Maria 65 år, nyupptäckt hypertoni och vänsterkammarhypertrofi på EKG. Vad är den huvudsakliga bakomliggande mekanismen till hypertrofin?;Kronisk volymbelastning;Förhöjd hjärtfrekvens;Ökat perifert motstånd;Hypokalemi;Kronisk njursvikt
21;Vilket av följande påståenden är rätt avseende inflammatorisk tarmsjukdom?;Ulcerös kolit kan ha segmentell utbredning i kolon med så kallade skip lesions.;Behandlingsalternativen för Crohns sjukdom och ulcerös kolit skiljer sig inte åt...;Crohns sjukdom kan orsaka fistlar och stenosering i mag-tarmkanalen;Det finns en ökad risk för koloncancer vid Crohns sjukdom men inte vid ulcerös kolit;Ulcerös kolit har alltid värst inflammationsgrad längst oralt i kolon.
22;Ulla 67 år, misstänkt hjärtsvikt (orkeslöshet, dyspné, ödem). Vilken undersökning är viktigast för att fastställa diagnosen och klassificera typen av hjärtsvikt?;Långtids-EKG;NT-proBNP;EKG;Arbetsprov;Ekokardiografi
23;Cecilia 68 år, KOL stadium 2. Tilltagande dyspné vid ansträngning. Slutat röka, bra inhalationsteknik. Vilken icke-farmakologisk åtgärd är viktigast?;Undvika pulsstegring som motsvarar högintensiv fysisk aktivitet;Utprovning av lämpligt gånghjälpmedel;Utprovning av nebulisator att använda i hemmet;Undvika aerob fysisk aktivitet och endast utföra muskelstärkande fysisk aktivitet;Kombination av aerob fysisk aktivitet och muskelstärkande fysisk aktivitet
24;Gällande tobaksrökning, vilket av nedanstående påståenden är felaktigt?;Tobaksrökning under graviditet ökar risken för låg födelsevikt;Rökstopp efter många års rökning har ingen hälsovinst eftersom skadorna redan skett;Tobaksrökning ger ökad risk för komplikationer vid operation;Tobaksrökning ger ökad risk för hjärt-kärlsjukdomar;Tobaksrökning är den enskilt främsta riskfaktorn för sjukdom och framtida död
25;Vad är sant för fysisk aktivitet vid hypertoni?;Tung styrketräning är viktigaste träningen vid hypertoni;Promenad är alltid av för låg intensitet för att ha effekt på blodtrycket;Bara konditionsträning har effekt på blodtrycket;Effekten av regelbunden fysisk aktivitet motsvarar ungefär ett läkemedel;Gåfotboll är fel aktivitet för att sänka blodtrycket
26;Jan 76 år, KLL. Nu uttalad trötthet och andfåddhet. Misstanke om hemolytisk anemi. Vilka prover ordinerar du för att påvisa autoimmun hemolytisk anemi?;Kreatinin, beta2-mikroglobulin, fragmentocyter, M-komponent, SR;LD, haptoglobin, retikulocyter, bilirubin, DAT;LD, transferrin, retikulocyter, ferritin, DAT;ANCA, haptoglobin, SR, retikulocyter, FACS;ALP, haptoglobin, schistocyter, bilirubin, FACS
27;Kvinna 21 år, magknip och periodvis hård avföring (IBS-misstanke). Hb och CRP normalt. Vilken ytterligare prov/undersökning måste vara normal för att ställa IBS-diagnos?;Koloskopi;Antikroppar mot transglutaminas;F-Hb;F-Calprotectin;Laktas-gen polymorfism
28;Kvinna 32 år, förstoppning, nu blod på pappret. Hb normalt. Vad är nästa steg i utredningen?;Kontroll av F-Hb;Koloskopi;DT-kolografi;Rekto-/Proktoskopi;Gastroskopi
29;Man 52 år, trötthet/andfåddhet. Alkoholmissbruk. EKG sinustakykardi, EKO dilaterade hjärtrum och nedsatt systolisk funktion. Sannolik diagnos?;Restriktiv kardiomyopati;Alkoholinducerad dilaterad kardiomyopati;Hypertrof kardiomyopati;Ischemisk hjärtsjukdom;Perimyokardit
30;Vilken dermatologisk åkomma bör leda tankarna till celiaki?;Psoriasis;Akne;Allergiskt eksem;Dermatitis herpetiformis;Recidiverande hudinfektioner
31;Man 56 år, nyupptäckt förmaksflimmer sedan igår kväll (<24h). Vilken behandling används oftast för att återställa sinusrytmen (som inte gått över spontant)?;El-konvertering;Antikoagulantia;Pacemakerinläggning;Kateterablation;Betablockad
32;[SE BILD I ORIGINAL - EKG] 62-årig man, yrsel och andfåddhet. Vad visar EKG?;Förmaksfladder;AV-block II typ II;AV-block II typ I;WPW-syndrom;AV-block III med nodal ersättningsrytm
33;[SE BILD I ORIGINAL - EKG] 52-årig kvinna, plötslig hjärtklappning och yrsel. HF 160. Vad är den mest sannolika rytmen och hur går du vidare?;Misstänkt supraventrikulär takykardi (AVNRT). Adenosin iv.;Misstänkt 1:1 överlett förmaksfladder. Söv och elkonvertera.;Sinustakykardi med skänkelblock. Lugna patienten.;Misstänkt förmaksflimmer med grenblock. Betablockad.;Misstänkt ventrikeltakykardi. Esofagus-EKG.
34;Kvinna 50 år, perikardit. Utvecklar hypotension, halsvenstas, dämpade hjärtljud. Vilken åtgärd är bäst?;Observation;Kirurgisk perikardial resektion;Perikardiocentes;Start av betablockerare;Infusion av diuretika
35;Bagare Bengtsson, överviktig, snarkar, trött (Obstruktivt sömnapnésyndrom). Vad riskerar han att insjukna i förutom diabetes?;Förmaksflimmer och bältros.;Arteriell hypertoni och stroke.;Ulcerös kolit och stroke.;Arteriell hypertoni och ulcerös kolit.;Bältros och arteriell hypertoni.
36;Kvinna 65 år, hjärtsviktssymtom. Holosystoliskt blåsljud, EKG bifasisk p-våg (förstorat vänster förmak). Vilket klaffvitium?;Trikuspidisinsufficiens;Ventrikelseptumdefekt;Mitralisinsufficiens;Mitralistenos;Aortainsufficiens
37;Vilket påstående är felaktigt om patienter med nefrotiskt syndrom?;patienterna har som regel pittingödem;patienterna har höggradig albuminuri;patienterna kan behöva behandling med antikoagulantia;patienterna har ökad infektionsrisk;patienterna har som regel erytrocytcylindrar i urinen
38;Kvinna 83 år. Plötsliga bortfall (arm/ben/sludder) kl 10:13. Kl 11:40 (ambulans) inga bortfall. Vad är rätt om TIA/AIS?;Detta är en AIS oavsett förbättringen. Snabbt till sjukhus (trombolys).;Detta kan vara en TIA - utredas fort men kan lämnas hemma och söka nästa dag.;Detta kan vara en TIA som måste utredas akut och patienten bör följa med ambulansen direkt till sjukhus.;Det måste vara en AIS och kan inte vara en intracerebral blödning med så lindriga symtom.;Det är så typiska bortfall att det inte kan vara något annat än TIA eller stroke.
39;Man 55 år, svårbehandlad hypertoni och hypokalemi (3,2) trots kaliumtabletter. Ej diuretika. Vad bör utredas i första hand?;Cushings syndrom;njurartärstenos;feokromocytom;primär hyperaldosteronism;tyreotoxikos
40;[SE BILD I ORIGINAL - EKG] Anna-Karin 63 år, pacemaker pga AV-block III. Nu andfådd, tungt i bröstet, bensvullnad. Vad är nästa steg i handläggningen?;Ordinerar metoprolol (betablockad) misstanke att hon går för fort i frekvens;Ordinerar diuretika pga misstanke om hjärtsvikt och remitterar för ny ekokardiografi;Byter ut felodipin mot salures och ordinerar stödstrumpor;Lungröntgen med misstanke om lungsjukdom;Remitterar för koronarangiografi, då EKG inger misstanke om kranskärlssjukdom
41;Anna, KOL med latent andningssvikt och njursvikt. Inkommer uttalat obstruktiv, sat 83%. Vilken akut behandling är lämpligast?;Salbutamol 2,5 mg, ipratropiumbromid 2,5 mg, inhalationssteroider (högdos) och syrgas 5 liter.;Syrgas 1,5 liter, salbutamol 5 mg, ipratropiumbromid 0,5 mg och inhalationssteroider (högdos).;Syrgas 1 liter, salbutamol 5 mg, ipratropiumbromid 0,5 mg och Betapredtabletter.;Salbutamol 2,5 mg, ipratropiumbromid 10 mg, Prednisolontabletter och syrgas 2 liter.;Syrgas 5 liter, salbutamol 2,5 mg, ipratropiumbromid 2,5 mg och Betapredtabletter.
42;Man 70 år, KOL. Första blodgas: pH 7.30, pCO2 8.4, pO2 6.7. Två timmar senare (med 5L syrgas): pH 7.19, pCO2 9.8, pO2 7.0. Patienten trött. Tolkning/Handläggning?;Patienten hyperventilerar - minska syrgasflödet;Patienten har respiratorisk alkalos - öka syrgasflödet;Patienten har koldioxidretention - starta NIV (BIPAP);Patienten har metabol acidos - ge bikarbonat;Patienten är överventilerad - ge sedering
43;Vilket av följande påståenden om hyponatremi stämmer inte?;För snabb korrigering av hyponatremi kan orsaka osmotiskt demyeliniseringssyndrom;Kronisk hyponatremi är vanligare än akut hyponatremi;Hyponatremi ses oftast i samband med uttorkningstillstånd som kraftiga svettningar/diarré;Akut hyponatremi definieras som hyponatremi som utvecklats inom 48 timmar;Kronisk hyponatremi bör generellt korrigeras långsamt
44;Ibrahim, hypertoni och diabetes typ 2. eGFR 53, U-alb/krea 70 (mikroalbuminuri). Medicinerar Metformin, Atorvastatin, Candesartan/Hydroklortiazid, Amlodipin. Vilket läkemedel lägger du till för att minska risk för njursvikt?;insulin;SGLT2-hämmare;MRA;GLP-1 receptor agonist;ACE-hämmare
45;Man 65 år, IgG kappa M-komponent 15 g/L. Misstanke MGUS men vill utesluta myelom. Vilka undersökningar krävs för diagnos och behandlingsindikation?;Blodprov (blodstatus, elstatus, fria lätta kedjor), Benmärgsundersökning och PET-CT;Blodprov samt CT hals, thorax och buk.;Blodprov samt MR helkropp;Blodprov, Benmärgsundersökning och CT lågdos myelomskelett;Endast blodprov då patienten är symptomfri.
46;Linda 49 år, diabetes typ 2, rökare. Vilken livstilsåtgärd har störst betydelse för att förbättra insulinkänsligheten?;Minskad saltanvändning;Regelbunden fysisk aktivitet;Minskad koffeinkonsumtion;Rökstopp;Ökad proteinandel i kosten
47;Vilket av följande kliniska tecken förekommer inte vid insulinbrist?;Låg C-peptid;Viktuppgång;Förlust av muskelmassa;Högt blodsocker;Ketonproduktion
48;Vilket av följande förknippas inte med en ökad risk för venös tromboembolism?;Hög ålder;Central venkateter;Kongenital trombocytopeni;Cancer;Nefrotiskt syndrom
49;[SE BILD I ORIGINAL - EKG] Man 67 år, akut central bröstsmärta. EKG skickas till HIA. Vad visar EKG och handläggning?;Inferolateral STEMI. Laddningsdos Trombyl och heparin iv. Akut PCI.;Inferolaterala ST-höjningar. Måste komplettera med troponin.;Akut perikardit. Till akuten för bedömning.;Inferolateral STEMI. Inläggning, Trombyl, Arixtra. PCI inom 24h.;Vänstergrenblock. Kan ej bedöma ST-T. Till akuten.
50;Vilket påstående är minst rimligt angående biverkningar?;En negativ dechallenge talar emot att det handlar om en biverkning.;Svart triangel vid läkemedelsnamnet i FASS betyder att läkemedlet är under särskild utredning.;Biverkningar som spontanrapporteras är ett viktigt sätt för Läkemedelsverket att få kunskap om frekvensen...;När ett nytt läkemedel godkänns är ovanliga biverkningar oftast inte tillräckligt kända.;Typ A-biverkningar kan ofta hanteras genom att sänka dosen...
51;Elsa 78 år, uttalad hypotyreos. Ska starta Levaxin. Vilket påstående är mest korrekt angående insättning?;Snabb upptrappning minskar risken för biverkningar;Levotyroxin bör kombineras med kalciumtillskott;Vid upptrappning bör patienten vara restriktiv med jodberikat salt;Äldre och hjärtsjuka bör starta med låg dos och långsam upptrappning;Vid uttalad hypotyreos bör T4 kombineras med T3 direkt.
52;Bengt 78 år. Förr: BT 125/75, Krea 100. Nu: BT 165/90, Krea 170, U-sticka 3+ alb/hgb, ödem. Sannolik orsak till sänkt GFR?;akut interstitiell nefrit;glomerulonefrit;prerenal njurskada;hypertoni-orsakad njurskada;avflödeshinder
53;Vilket läkemedel sänker plasma-kalium snabbast vid kronisk njursvikt, acidos och K 7,8?;furosemid intravenöst;pulver Resonium per os;insulin-glukos-infusion;natriumbikarbonat-infusion;kalcium-glukonat i.v.
54;Bengt 47 år, diabetes typ 2 (Metformin + Victoza). HbA1c 43, BT 128/72, Alb/krea-kvot 27 (förhöjt). Vilken behandling lägger du till?;Felodipin;Enalapril (ACE-hämmare);Metoprolol;Insulin i flerdos;Ingen, behandlingen är välfungerande.
55;Karin 28 år, diabetes typ 1, insulinpump. Alkoholpåverkad på fest, oregerlig, kall/fuktig hud. Vad gör Du? (Ett alternativ är fel);Koppla bort insulinpumpen och ge glukagon im;Om patienten inte kan svälja så tillför något sött med sked;Ge glukos/snabb kolhydrat po om möjligt;Ge 4E direktverkande insulin med hjälp av pumpen;Kontrollera plasma-glukos
56;Man 54 år, svårbehandlat BT (165/95) trots 3 mediciner. Överviktig, snarkar, andningsuppehåll. Trött. Normala prover. Handläggning?;Insomningstablett;Lägg till betablockerare;Öka tiaziddiuretikum;Misstänkt sömnapné - remiss polysomnografi;Misstänkt primär hyperaldosteronism - beställ aldosteron/reninkvot
57;[SE BILD I ORIGINAL - EKG] Kvinna 87 år (född -38). Synkope, nedsatt ork, systoliskt blåsljud. Vad visar EKG? Handläggning?;Normalt EKG. Ortostatiskt blodtrycksfall. Skicka hem.;EKG med sinusrytm och ST-höjningar. PCI-jouren.;EKG med sinusrytm, Vänsterkammarhypertrofi. Misstänkt tät aortastenos. Inläggning + EKO.;EKG med sinusrytm och ST-sänkningar. AKS. Inläggning.;EKG med högerkammarpåverkan. Lungemboli. CT-thorax.
58;Bertil 65 år, f.d. rökare, tidigare infarkt. Dyspné, ortopné, rassel, 3:e ton, vänstersidigt skänkelblock. Första åtgärd?;Remittera för poliklinisk ekokardiografi.;Ordinera metoprolol iv.;Remittera för subakut pacemakerimplantation.;Ordinera furosemid 40 mg intravenöst.;Skriva akut remiss till sjukhus för kranskärlsröntgen.
59;Medelålders man, nyupptäckt förmaksflimmer. Tidigare frisk, opåverkad. Vilken åtgärd bör UNDVIKAS?;Akut elkonvertering;Insättning av oral antikoagulation (OAK);Frekvensreglering med betablockad;Remiss till hjärtmottagning för elektiv elkonvertering;Frekvensreglering med digitalis
60;Man 70 år, förmaksflimmer/svikt. Mediciner: bl.a. Cordarone (amiodaron). TSH 0,08 (lågt), fT4 22 (högt). Trolig diagnos?;Graves tyreotoxikos;Hashimotos tyreoidit;Cordarone-utlöst tyreotoxikos;Subakut tyreoidit;Non tyreoideal illness
61;Svea 84 år, bott i Kongo. Bilateral pleuravätska (Protein 27 g/L = transudat). Svullna fötter. Troligaste orsak/utredning?;Empyem. Remiss lungklinik.;Kollagenos. Reumaprover.;Tuberkulos. Remiss infektion.;Hjärtsvikt. Remiss EKO och NT-proBNP.;Malignitet. Thorakoskopi.
62;[SE BILD I ORIGINAL - EKG] Kvinna 74 år, yrsel/presynkope. Telemetri visar sinusarrest 4-5 sekunder. Vad visar EKG (bilden) och åtgärd?;Dehydrerad. Vätska.;Sinusarytmi. Ingen åtgärd.;Bradytaky-syndrom. Betablockad.;Sjuk sinusknuta. Adenosin test.;Sjuk sinusknuta. Insättning av permanent pacemaker.
63;Vad är eGFR?;GFR beräknat från ålder, kön, kroppsyta och vikt;GFR beräknat från endogena filtrations markörer som kreatinin;En uppskattning av GFR baserad på iohexolnivåer;En uppskattning baserad på kön, muskelmassa och ålder;En direkt mätning av GFR
64;Vilket fynd ser man inte vid en pre-renal akut njurskada?;U-sediment med akantocyter och röda blodkroppscylindrar;U-Natrium < 10 mmol/L;normal U-albumin/kreatinin-kvot;blodtryck 90/55 mmHg;systoliskt blodtryck sjunker >20 mmHg efter 3 minuter i stående
65;[SE BILD I ORIGINAL - EKG] Kvinna 78 år. Obehandlad hypertoni/flimmer. Akut dyspné, kan ej ligga ner. BT 195/100, rassel. EKG visar flimmer. Diagnos/Behandling?;Hypertensivt lungödem. Hjärtläge, diuretika, vasodilaterare, CPAP.;Trombolysbehandling på misstanke om lungemboli.;Dekompenserad hjärtsvikt. Hjärtläge, diuretika, EKO, lungröntgen.;Förmaksflimmer med hög kammarfrekvens. Akut elkonvertering.;Kardiogen chock. Antibiotika, IVA.
66;Kvinna 79 år, trötthet och klåda. Förhöjt ALP (5,2). Normalt bilirubin/ASAT/ALAT. Rivmärken. Vilket prov bekräftar sannolik diagnos?;Antinukleära antikroppar (ANA) och IgG;Magnetresonanstomografi av gallvägar (MRC);Antimitokondrieantikroppar (AMA) och IgM;Ultraljud av lever och gallvägar;HFE-mutationstest
67;[SE BILD I ORIGINAL - EKG] Man 66 år. Bröstsmärta i vila. Troponin ua. Vad visar EKG och åtgärd?;Höggradigt AV-block. Telemetri/Pacemaker.;Normofrekvent flimmer. DOAK, remiss elkonvertering.;Symptomgivande VES. Remiss ablation.;Normalt EKG. Hem, uppföljning BT.;Sinusrytm med VES. AKS kan ej uteslutas. Inläggning, övervak, utredning.
68;Kvinna 65 år, rökare, klåda efter dusch. Hb 165, EVF 0,49. Palperbar mjälte? Nästa steg?;Kompletterar med diff, järnpaket, s-erytropoetin.;Storrökare, ingen utredning, men UL buk.;Remiss Hematologen (frågeställning polycytemia vera).;DT hals/thorax/buk (lymfom?);Diuretika-effekt (pseudopolycytemi).
69;[SE BILD I ORIGINAL - EKG] Kvinna 62 år, bröstsmärta 2h. Troponin 56 (förhöjt). EKG visar ST-sänkningar/T-vågsnegativiseringar. Diagnos?;Lungemboli;Angina pectoris;ST-höjningsinfarkt;Perimyokardit;Icke-ST-höjningsinfarkt
70;Anna 25 år, trötthet. Hb 77 (lågt). B12-brist, högt folat, järnbrist. Atrofisk gastrit. Behandling?;Börjar med järn, tar om prover.;Ger B12 först, tar om folat sen.;Folat och järn först.;Börjar med B12 och folat, tar om järn sen.;Ger B12, folat och järn samtidigt.
71;Märta 5 år. Halsont, feber 38,9. Ingen hosta. Ömmande käkvinklar. Svullna tonsiller. Hur många Centorkriterier?;2;3;0;4;1
72;Pablo 45 år. Hosta, snuva, halsont. Temp 38,3. Lungor ua. Snabbtest CRP?;CRP behöver inte tas hos en opåverkad patient med typiskt virala symtom;CRP kan skilja på om Pablo har en viral eller bakteriell infektion;CRP kan ersätta lungröntgen;CRP bör tas, behandla om >50.;CRP ska alltid tas vid symptom från luftvägarna
73;Emil 4 år, feber, ont i höger öra. Akut mediaotit höger (buktar, nedsatt rörlighet). Vänster ua. Opåverkad. Åtgärd?;Förskriv antibiotika direkt.;Förskriv PcV i reserv.;Remiss öronläkare.;Förskriv amoxicillin i reserv.;Avvakta med antibiotika, ge smärtlindring (aktiv exspektans).
74;Jamila 28 år, gravid v 17. Sveda/trängningar (UVI). Feberfri. Åtgärd?;Tempa, om >38 till gyn.;Urinsticka, odling, antibiotika direkt.;Ta CRP, om >50 behandla pyelonefrit.;Urinsticka, odling, avvakta svar.;Urinsticka, behandla om positiv.
75;Vilket alternativ är mest korrekt beträffande äldre och njurar?;Njurfunktionen (GFR) är ofta halverad vid 80 års ålder;Läkemedel elimineras i ökad omfattning via levern;Måttligt nedsatt njurfunktion ger hög risk för grav njursvikt;S-kreatinin är ett bra mått på njurfunktion;Risken för förgiftning minskar med åldern.
76;Vem var den förste moderna läkaren som menade att sjukdomar inte är gudsstraff (första läkar-eden)?;Galenos;Aristoteles;Platon;Hippokrates;Sokrates
77;Vad innebär narrativ kompetens?;Ingen av ovanstående;Att man inte skall lura patienten;Att kunna ta en strukturerat anamnes;En förmåga att se hela patienten;En förmåga att lyssna och ta vara på patientens berättelse
78;Vilka studiedesigner har högst evidensgrad?;Systematiska översikter och metaanalyser av randomiserade kontrollerade studier;Observationsstudier och fall-kontrollstudier;Fallrapporter och expertutlåtanden;Enkätstudier och tvärsnittsstudier;Laboratoriestudier och djurstudier
79;Vad är evidensbaserad medicin?;Att endast basera behandling på expertutlåtanden;Att främst använda läkemedelsföretagens rekommendationer;Att enbart använda läkarens kliniska erfarenhet;Att alltid följa riktlinjer utan att ta hänsyn till patientens önskemål;Att kombinera bästa tillgängliga vetenskapliga evidens, klinisk expertis och patientens värderingar
80;Vad är skillnaden på kausalitet och korrelation?;Korrelation innebär att två variabler samvarierar, kausalitet innebär att den ena orsakar den andra;Korrelation gäller bara vid experiment, kausalitet bara vid observation;Kausalitet innebär samband utan orsak, korrelation innebär orsakssamband;Det finns ingen skillnad;Kausalitet är när två variabler råkar samvariera...
81;Björn 33 år. Nedstämd, isolerad. Tror han har cancer ("vet" det). Vill ha assisterat suicid men vill inte dö. Förstår inte varför han behöver psykiatri. Diagnos?;Hypokondriskt syndrom;Somatiseringssyndrom;Generaliserat ångestsyndrom;Schizofreni;Svår egentlig depression med psykotiska symtom
82;Vilka fyra symtomkluster ingår i PTSD-diagnosen hos vuxna?;Undvikande, negativa tankar/känslor, överspändhet (hyperarousal), återupplevande (implied);Tvångstankar, dissociation, panikattacker;Dissociation, förföljelseidéer, somatisering;Ångest, tvångssyndrom, nedstämdhet, personlighetsförändring;Undvikande, social fobi, kroppsliga symtom, automatisk tankeflykt
83;Vilket symtomkluster är mest typiskt vid opiatabstinens?;Synhallucinationer, ataxi, nystagmus och aggressivitet;Feber, nackstelhet, fotofobi och medvetandesänkning;Eufori, små pupiller, klåda och andningsdepression;Bradykardi, hypotermi, hypersomni och förstoppning;Oro/rastlöshet, muskelvärk, svettningar, rinnande näsa och diarré
84;Kvinna 24 år, juriststudent. Prestationsångest, kuggat tentor. Kan ej koncentrera sig. "Krisat". Tidigare högpresterande. Gråter men normalt stämningsläge. Diagnos?;Anpassningsstörning;Egentlig depression;Intellektuell funktionsnedsättning;Social ångest;ADHD
85;Man 28 år. Sökte först för kroppsligt fel pga anhöriga. Nu rädd för kidnappning av anhöriga. Misstänksam/personlighetsförändrad i ett par månader. Diagnos?;Personlighetssyndrom, paranoid;Sjukdomsångest;Personlighetssyndrom, schizoid;Personlighetssyndrom, schizotyp;Vanföreställningssyndrom
86;Vilket tillstånd kan förekomma till följd av tiaminbrist (vitamin B1)?;Postpartum psykos;Wernickes encefalopati;Alkoholpsykos;Abstinenssyndrom;Autism i barndomen
